Model,Threshold,Validation Threshold,Validation Precision,Validation Recall,Validation F1,Validation F2,Validation ROC-AUC,Validation Average Precision,Validation TN,Validation FP,Validation FN,Validation TP
CatBoost,0.9293270839006333,0.9293270839006333,0.9285714285714286,0.8552631578947368,0.8904109589041096,0.8689839572190612,0.9685040878896269,0.8484911363769115,45315,5,11,65
XGBoost,0.8989636898040771,0.8989636898040771,0.9558823529411765,0.8552631578947368,0.9027777777777778,0.8736559139783078,0.9724322943280532,0.8646163297501451,45317,3,11,65
Logistic Regression,0.9062025486172653,0.9062025486172653,0.20608108108108109,0.8026315789473685,0.32795698924731187,0.5083333333330209,0.9730536070980629,0.6337056072504288,45085,235,15,61
Random Forest,0.3634459151435978,0.3634459151435978,0.8666666666666667,0.8552631578947368,0.8609271523178809,0.8575197889180074,0.9586465543271239,0.8460037122938552,45310,10,11,65
