Model,Threshold,Precision,Recall,F1,F2,ROC-AUC,Average Precision,Specificity,False Positive Rate,False Negative Rate,Review Rate,TN,FP,FN,TP
XGBoost,0.5,0.95,0.8,0.8685714285714285,0.8260869565215596,0.96826107032068,0.811375553423567,0.999929392243738,7.060775626202538e-05,0.2,0.0014097909984844747,56647,4,19,76
CatBoost,0.5,0.926829268292683,0.8,0.8587570621468926,0.8225108225106401,0.9757306276936627,0.8138259782441386,0.999894088365607,0.00010591163439303807,0.2,0.0014450357734465866,56645,6,19,76
Random Forest,0.5,0.9436619718309859,0.7052631578947368,0.8072289156626505,0.7427937915741135,0.9438144353841481,0.8101837108804693,0.999929392243738,7.060775626202538e-05,0.29473684210526313,0.0012511895111549712,56647,4,28,67
Logistic Regression,0.5,0.03180760279286268,0.8631578947368421,0.0613542835765058,0.13860716700459297,0.9615427423123484,0.5026199147426833,0.9559407600924962,0.044059239907503836,0.1368421052631579,0.045430514926162194,54155,2496,13,82
