Model,Precision,Recall,F1-Score,ROC-AUC,Train Time (s)
CatBoost,0.5347222222222222,0.8105263157894737,0.6443514644351463,0.9741064634897512,6.258852005004883
XGBoost,0.1941031941031941,0.8315789473684211,0.3147410358565737,0.9610614018055146,22.356416940689087
Logistic Regression,0.02955840455840456,0.8736842105263158,0.05718222528418877,0.9610198732962395,3.6117465496063232
Random Forest,0.8933333333333333,0.7052631578947368,0.788235294117647,0.9543725246639394,35.37084674835205
