Model,Threshold,Precision,Recall,F1,F2,ROC-AUC,Average Precision,Specificity,False Positive Rate,False Negative Rate,Review Rate,TN,FP,FN,TP
XGBoost,0.22,0.926829268292683,0.8,0.8587570621468926,0.8225108225106401,0.96826107032068,0.811375553423567,0.999894088365607,0.00010591163439303807,0.2,0.0014450357734465866,56645,6,19,76
XGBoost,0.23,0.926829268292683,0.8,0.8587570621468926,0.8225108225106401,0.96826107032068,0.811375553423567,0.999894088365607,0.00010591163439303807,0.2,0.0014450357734465866,56645,6,19,76
XGBoost,0.24000000000000002,0.926829268292683,0.8,0.8587570621468926,0.8225108225106401,0.96826107032068,0.811375553423567,0.999894088365607,0.00010591163439303807,0.2,0.0014450357734465866,56645,6,19,76
XGBoost,0.25,0.9382716049382716,0.8,0.8636363636363636,0.8242950108458059,0.96826107032068,0.811375553423567,0.9999117403046724,8.825969532753173e-05,0.2,0.0014274133859655306,56646,5,19,76
XGBoost,0.26,0.9382716049382716,0.8,0.8636363636363636,0.8242950108458059,0.96826107032068,0.811375553423567,0.9999117403046724,8.825969532753173e-05,0.2,0.0014274133859655306,56646,5,19,76
XGBoost,0.27,0.9382716049382716,0.8,0.8636363636363636,0.8242950108458059,0.96826107032068,0.811375553423567,0.9999117403046724,8.825969532753173e-05,0.2,0.0014274133859655306,56646,5,19,76
XGBoost,0.28,0.9382716049382716,0.8,0.8636363636363636,0.8242950108458059,0.96826107032068,0.811375553423567,0.9999117403046724,8.825969532753173e-05,0.2,0.0014274133859655306,56646,5,19,76
XGBoost,0.29000000000000004,0.9382716049382716,0.8,0.8636363636363636,0.8242950108458059,0.96826107032068,0.811375553423567,0.9999117403046724,8.825969532753173e-05,0.2,0.0014274133859655306,56646,5,19,76
XGBoost,0.3,0.9382716049382716,0.8,0.8636363636363636,0.8242950108458059,0.96826107032068,0.811375553423567,0.9999117403046724,8.825969532753173e-05,0.2,0.0014274133859655306,56646,5,19,76
XGBoost,0.31,0.9382716049382716,0.8,0.8636363636363636,0.8242950108458059,0.96826107032068,0.811375553423567,0.9999117403046724,8.825969532753173e-05,0.2,0.0014274133859655306,56646,5,19,76
XGBoost,0.32,0.9382716049382716,0.8,0.8636363636363636,0.8242950108458059,0.96826107032068,0.811375553423567,0.9999117403046724,8.825969532753173e-05,0.2,0.0014274133859655306,56646,5,19,76
XGBoost,0.33,0.9382716049382716,0.8,0.8636363636363636,0.8242950108458059,0.96826107032068,0.811375553423567,0.9999117403046724,8.825969532753173e-05,0.2,0.0014274133859655306,56646,5,19,76
XGBoost,0.34,0.9382716049382716,0.8,0.8636363636363636,0.8242950108458059,0.96826107032068,0.811375553423567,0.9999117403046724,8.825969532753173e-05,0.2,0.0014274133859655306,56646,5,19,76
XGBoost,0.35000000000000003,0.9382716049382716,0.8,0.8636363636363636,0.8242950108458059,0.96826107032068,0.811375553423567,0.9999117403046724,8.825969532753173e-05,0.2,0.0014274133859655306,56646,5,19,76
XGBoost,0.36000000000000004,0.95,0.8,0.8685714285714285,0.8260869565215596,0.96826107032068,0.811375553423567,0.999929392243738,7.060775626202538e-05,0.2,0.0014097909984844747,56647,4,19,76
XGBoost,0.37,0.95,0.8,0.8685714285714285,0.8260869565215596,0.96826107032068,0.811375553423567,0.999929392243738,7.060775626202538e-05,0.2,0.0014097909984844747,56647,4,19,76
XGBoost,0.38,0.95,0.8,0.8685714285714285,0.8260869565215596,0.96826107032068,0.811375553423567,0.999929392243738,7.060775626202538e-05,0.2,0.0014097909984844747,56647,4,19,76
XGBoost,0.39,0.95,0.8,0.8685714285714285,0.8260869565215596,0.96826107032068,0.811375553423567,0.999929392243738,7.060775626202538e-05,0.2,0.0014097909984844747,56647,4,19,76
XGBoost,0.4,0.95,0.8,0.8685714285714285,0.8260869565215596,0.96826107032068,0.811375553423567,0.999929392243738,7.060775626202538e-05,0.2,0.0014097909984844747,56647,4,19,76
XGBoost,0.41000000000000003,0.95,0.8,0.8685714285714285,0.8260869565215596,0.96826107032068,0.811375553423567,0.999929392243738,7.060775626202538e-05,0.2,0.0014097909984844747,56647,4,19,76
XGBoost,0.42000000000000004,0.95,0.8,0.8685714285714285,0.8260869565215596,0.96826107032068,0.811375553423567,0.999929392243738,7.060775626202538e-05,0.2,0.0014097909984844747,56647,4,19,76
XGBoost,0.43,0.95,0.8,0.8685714285714285,0.8260869565215596,0.96826107032068,0.811375553423567,0.999929392243738,7.060775626202538e-05,0.2,0.0014097909984844747,56647,4,19,76
XGBoost,0.44,0.95,0.8,0.8685714285714285,0.8260869565215596,0.96826107032068,0.811375553423567,0.999929392243738,7.060775626202538e-05,0.2,0.0014097909984844747,56647,4,19,76
XGBoost,0.45,0.95,0.8,0.8685714285714285,0.8260869565215596,0.96826107032068,0.811375553423567,0.999929392243738,7.060775626202538e-05,0.2,0.0014097909984844747,56647,4,19,76
XGBoost,0.46,0.95,0.8,0.8685714285714285,0.8260869565215596,0.96826107032068,0.811375553423567,0.999929392243738,7.060775626202538e-05,0.2,0.0014097909984844747,56647,4,19,76
XGBoost,0.47000000000000003,0.95,0.8,0.8685714285714285,0.8260869565215596,0.96826107032068,0.811375553423567,0.999929392243738,7.060775626202538e-05,0.2,0.0014097909984844747,56647,4,19,76
