Model,Best Params,CV Average Precision,Validation Threshold,Validation Precision,Validation Recall,Validation F1,Validation F2,Test Precision @0.50,Test Recall @0.50,Test F1 @0.50,Test Precision @Tuned,Test Recall @Tuned,Test F1 @Tuned,Test F2 @Tuned,Test ROC-AUC,Test Average Precision,Test FP @Tuned,Test FN @Tuned,Test TP @Tuned,Train ROC-AUC,Overfit Gap,Saved Model
XGBoost,"{'subsample': 0.7, 'scale_pos_weight': 899.2142857142858, 'reg_lambda': 7, 'reg_alpha': 0.1, 'n_estimators': 700, 'min_child_weight': 3, 'max_depth': 6, 'learning_rate': 0.1, 'gamma': 0, 'colsample_bytree': 0.8}",0.8237763505555123,0.8989636898040771,0.9558823529411765,0.8552631578947368,0.9027777777777778,0.8736559139783078,0.95,0.8,0.8685714285714285,0.9866666666666667,0.7789473684210526,0.8705882352941177,0.8131868131866411,0.96826107032068,0.811375553423567,1,21,74,1.0,0.031738929679320016,models\tuned_xgboost.pkl
CatBoost,"{'subsample': 0.9, 'scale_pos_weight': 299.73809523809524, 'learning_rate': 0.05, 'l2_leaf_reg': 9, 'iterations': 700, 'depth': 7}",0.8251935625664061,0.9293270839006333,0.9285714285714286,0.8552631578947368,0.8904109589041096,0.8689839572190612,0.926829268292683,0.8,0.8587570621468926,0.9733333333333334,0.7684210526315789,0.8588235294117647,0.80219780219763,0.9757306276936627,0.8138259782441386,2,22,73,0.999991010507246,0.024260382813583337,models\tuned_catboost.pkl
Random Forest,"{'n_estimators': 250, 'min_samples_split': 5, 'min_samples_leaf': 5, 'max_features': 'sqrt', 'max_depth': None, 'class_weight': 'balanced_subsample'}",0.7940405567134609,0.3634459151435978,0.8666666666666667,0.8552631578947368,0.8609271523178809,0.8575197889180074,0.9436619718309859,0.7052631578947368,0.8072289156626505,0.9358974358974359,0.7684210526315789,0.8439306358381503,0.7969432314408714,0.9438144353841481,0.8101837108804693,5,22,73,0.9999732299910584,0.05615879460691031,models\tuned_random_forest.pkl
Logistic Regression,"{'solver': 'lbfgs', 'penalty': 'l2', 'C': 0.001}",0.5136057481800321,0.9062025486172653,0.20608108108108109,0.8026315789473685,0.32795698924731187,0.5083333333330209,0.03180760279286268,0.8631578947368421,0.0613542835765058,0.229607250755287,0.8,0.3568075117370892,0.5344585091417423,0.9615427423123484,0.5026199147426833,255,19,76,0.9797954495794763,0.01825270726712791,models\tuned_logistic_regression.pkl
