Model,Threshold,Precision,Recall,F1,F2,ROC-AUC,Average Precision,Specificity,False Positive Rate,False Negative Rate,Review Rate,TN,FP,FN,TP,CV Average Precision,Validation Precision,Validation Recall,Validation F2,Train ROC-AUC,Overfit Gap,Pass Precision Gate,Pass Recall Gate,Pass F2 Gate,Pass AP Gate,Pass Overfit Gate,Pass FP Gate,Eligible,Score F2,Score AP,Score Precision,Score Recall,Score ROC-AUC,Score Low FP,Score Low FN,Score Stability,Selection Score
XGBoost,0.8989636898040771,0.9866666666666668,0.7789473684210526,0.8705882352941177,0.8131868131866411,0.96826107032068,0.811375553423567,0.9999823480609344,1.7651939065506346e-05,0.2210526315789473,0.0013216790610791,56650,1,21,74,0.8237763505555123,0.9558823529411764,0.8552631578947368,0.8736559139783078,1.0,0.03173892967932,True,True,True,True,True,True,True,1.0,0.9921260376709848,1.0,0.3333333333333333,0.7659633924828805,1.0,0.33333333333333337,0.6442201409155113,0.8238992204949274
CatBoost,0.9293270839006332,0.9733333333333334,0.7684210526315789,0.8588235294117647,0.80219780219763,0.9757306276936628,0.8138259782441386,0.999964696121869,3.530387813101269e-05,0.231578947368421,0.0013216790610791,56649,2,22,73,0.8251935625664061,0.9285714285714286,0.8552631578947368,0.8689839572190612,0.999991010507246,0.0242603828135833,True,True,True,True,True,True,True,0.960574470444735,1.0,0.98238799616899,0.0,1.0,0.9960629921259843,0.0,0.8415115890858419,0.7793805460971235
Random Forest,0.3634459151435978,0.935897435897436,0.7684210526315789,0.8439306358381503,0.7969432314408714,0.943814435384148,0.8101837108804693,0.9999117403046724,8.825969532753173e-05,0.231578947368421,0.0013745462235223,56646,5,22,73,0.7940405567134609,0.8666666666666667,0.8552631578947368,0.8575197889180074,0.9999732299910584,0.0561587946069103,True,True,True,True,True,True,True,0.9417225250896906,0.9882962840675746,0.9329389084896161,0.0,0.0,0.984251968503937,0.0,0.0,0.6222433227845768
Logistic Regression,0.9062025486172652,0.229607250755287,0.8,0.3568075117370892,0.5344585091417423,0.9615427423123484,0.5026199147426833,0.995498755538296,0.0045012444617041,0.2,0.0058330102562295,56396,255,19,76,0.5136057481800321,0.206081081081081,0.8026315789473685,0.5083333333330209,0.9797954495794764,0.0182527072671279,False,True,False,False,True,False,False,0.0,0.0,0.0,1.0,0.5554643472590944,0.0,1.0,1.0,0.3055464347259094
