iter	Logloss
0	0.5391752398
1	0.4340281576
2	0.349132908
3	0.290672423
4	0.2586884249
5	0.2342344072
6	0.2114540895
7	0.1905675292
8	0.1753502849
9	0.1663534285
10	0.1513233427
11	0.1443037495
12	0.1331658515
13	0.124432324
14	0.1208092285
15	0.1143853726
16	0.1063639229
17	0.1014857318
18	0.09675045602
19	0.09259708624
20	0.08798308212
21	0.08380291747
22	0.08211923755
23	0.07980776384
24	0.07727883064
25	0.074285449
26	0.06900881185
27	0.06581052143
28	0.06390661335
29	0.06081920539
30	0.05803310562
31	0.05669573921
32	0.05360909084
33	0.05201410677
34	0.05004161311
35	0.04806968284
36	0.0463648308
37	0.04403926863
38	0.04282130731
39	0.0415603743
40	0.04066559572
41	0.03911174037
42	0.03790446238
43	0.03643101566
44	0.03473558328
45	0.03410234196
46	0.03317041349
47	0.03218060475
48	0.03112180117
49	0.03042334231
50	0.02948658716
51	0.02872626591
52	0.02736945909
53	0.02682735122
54	0.02620163828
55	0.02500748604
56	0.02421750125
57	0.02336663149
58	0.02255248872
59	0.02232848208
60	0.02173702994
61	0.02122657849
62	0.0205127856
63	0.01993094312
64	0.01927203022
65	0.0186659601
66	0.01819952502
67	0.01774978526
68	0.01719185817
69	0.01693832467
70	0.01648006173
71	0.01560136832
72	0.01530639655
73	0.01489040432
74	0.01450305788
75	0.01423189469
76	0.01397485622
77	0.01349382995
78	0.01322658796
79	0.01274330946
80	0.012548131
81	0.01239824323
82	0.01216030195
83	0.01187959298
84	0.01170233946
85	0.01126537085
86	0.01118764025
87	0.01089245714
88	0.01059042947
89	0.01037628607
90	0.009943122367
91	0.009494036069
92	0.00938965898
93	0.009212894635
94	0.008874079965
95	0.008622565468
96	0.008422646603
97	0.00825743686
98	0.008086132389
99	0.007938217411
